experiment_name,__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
levenshtein_distance_origin_experiment,run_9_repetition_0,DONE,10,200,6868.093,7.223,2929.891,161.645
fibonacci_code_experiment,run_0_repetition_0,DONE,1,200,41796.646,6.954,4658.236,463.856
fibonacci_code_experiment,run_1_repetition_0,DONE,2,200,41832.49,7.162,4631.422,469.404
fibonacci_code_experiment,run_2_repetition_0,DONE,3,200,41955.979,7.12,4620.687,467.933
fibonacci_code_experiment,run_3_repetition_0,DONE,4,200,41757.022,7.092,4624.767,471.754
fibonacci_code_experiment,run_4_repetition_0,DONE,5,200,41829.675,7.026,4624.213,469.465
fibonacci_code_experiment,run_5_repetition_0,DONE,6,200,41843.762,7.112,4622.49,469.779
fibonacci_code_experiment,run_6_repetition_0,DONE,7,200,41618.599,6.985,4634.484,469.572
fibonacci_code_experiment,run_7_repetition_0,DONE,8,200,41884.618,7.112,4627.323,468.175
fibonacci_code_experiment,run_8_repetition_0,DONE,9,200,41742.541,7.038,4620.341,465.869
fibonacci_code_experiment,run_9_repetition_0,DONE,10,200,41865.213,7.084,4642.898,468.157
knapsack_code_function_experiment,run_0_repetition_0,DONE,1,200,0.015,7.518,2935.958,9.087
knapsack_code_function_experiment,run_1_repetition_0,DONE,2,200,0.014,6.518,2938.12,8.589
knapsack_code_function_experiment,run_2_repetition_0,DONE,3,200,0.022,5.451,2909.353,8.313
knapsack_code_function_experiment,run_3_repetition_0,DONE,4,200,0.014,6.866,2918.727,8.251
knapsack_code_function_experiment,run_4_repetition_0,DONE,5,200,0.016,7.132,2913.33,8.184
knapsack_code_function_experiment,run_5_repetition_0,DONE,6,200,0.014,6.399,2922.799,8.167
knapsack_code_function_experiment,run_6_repetition_0,DONE,7,200,0.016,5.273,2919.059,8.409
knapsack_code_function_experiment,run_7_repetition_0,DONE,8,200,0.014,6.393,2915.344,8.03
knapsack_code_function_experiment,run_8_repetition_0,DONE,9,200,0.014,6.729,2926.473,8.239
knapsack_code_function_experiment,run_9_repetition_0,DONE,10,200,0.015,6.236,2909.409,8.282
matrix_chain_order_origin_experiment,run_0_repetition_0,DONE,1,200,2953.552,7.637,2932.428,34.736
matrix_chain_order_origin_experiment,run_1_repetition_0,DONE,2,200,2966.954,7.162,2922.62,33.109
matrix_chain_order_origin_experiment,run_2_repetition_0,DONE,3,200,2948.267,6.553,2893.055,31.689
matrix_chain_order_origin_experiment,run_3_repetition_0,DONE,4,200,2974.904,6.795,2887.832,35.085
matrix_chain_order_origin_experiment,run_4_repetition_0,DONE,5,200,2936.587,6.48,2880.918,33.61
matrix_chain_order_origin_experiment,run_5_repetition_0,DONE,6,200,2964.394,7.994,2874.942,34.771
matrix_chain_order_origin_experiment,run_6_repetition_0,DONE,7,200,2970.129,6.622,2877.501,34.096
matrix_chain_order_origin_experiment,run_7_repetition_0,DONE,8,200,2989.521,6.568,2873.967,35.026
matrix_chain_order_origin_experiment,run_8_repetition_0,DONE,9,200,2973.498,6.828,2875.362,34.195
matrix_chain_order_origin_experiment,run_9_repetition_0,DONE,10,200,2942.671,6.075,2879.229,31.752
fibonacci_code_func_experiment,run_0_repetition_0,DONE,1,200,0.019,6.812,2933.004,1.699
fibonacci_code_func_experiment,run_1_repetition_0,DONE,2,200,0.018,6.149,2947.508,1.277
fibonacci_code_func_experiment,run_2_repetition_0,DONE,3,200,0.018,4.541,2926.431,1.21
fibonacci_code_func_experiment,run_3_repetition_0,DONE,4,200,0.019,5.934,2928.372,1.447
fibonacci_code_func_experiment,run_4_repetition_0,DONE,5,200,0.018,3.465,2927.181,1.293
fibonacci_code_func_experiment,run_5_repetition_0,DONE,6,200,0.019,5.639,2930.979,1.29
fibonacci_code_func_experiment,run_6_repetition_0,DONE,7,200,0.019,6.033,2916.535,1.379
fibonacci_code_func_experiment,run_7_repetition_0,DONE,8,200,0.02,6.131,2928.411,1.35
