experiment_name,repetition,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j,base_algo,optimize_method
edit_distance_origin_experiment,9,3490.91,7.318,3246.425,83.698,edit_distance,origin
edit_distance_origin_experiment,10,3476.691,7.059,3302.947,79.838,edit_distance,origin
edit_distance_code_functiontion_experiment,1,0.006,8.653,2933.193,23.555,edit_distance,"code,function"
edit_distance_code_functiontion_experiment,2,0.005,7.9,2931.42,20.807,edit_distance,"code,function"
edit_distance_code_functiontion_experiment,3,0.006,6.75,2936.17,18.97,edit_distance,"code,function"
edit_distance_code_functiontion_experiment,4,0.007,6.751,2931.692,19.723,edit_distance,"code,function"
edit_distance_code_functiontion_experiment,5,0.008,7.15,2921.771,19.472,edit_distance,"code,function"
edit_distance_code_functiontion_experiment,6,0.005,6.797,2933.724,19.443,edit_distance,"code,function"
edit_distance_code_functiontion_experiment,7,0.008,7.197,2927.079,20.524,edit_distance,"code,function"
edit_distance_code_functiontion_experiment,8,0.005,6.932,2932.956,19.897,edit_distance,"code,function"
edit_distance_code_functiontion_experiment,9,0.009,6.328,2930.484,20.198,edit_distance,"code,function"
edit_distance_code_functiontion_experiment,10,0.008,6.68,2936.696,20.101,edit_distance,"code,function"
levenshtein_distance_origin_experiment,1,6880.274,7.192,2956.124,167.778,levenshtein_distance,origin
levenshtein_distance_origin_experiment,2,6909.271,7.089,2930.311,154.774,levenshtein_distance,origin
levenshtein_distance_origin_experiment,3,6848.972,6.826,2934.192,150.96,levenshtein_distance,origin
levenshtein_distance_origin_experiment,4,6785.327,6.899,2928.427,161.152,levenshtein_distance,origin
levenshtein_distance_origin_experiment,5,6911.815,7.093,2927.108,164.085,levenshtein_distance,origin
levenshtein_distance_origin_experiment,6,6838.064,7.119,2930.416,161.074,levenshtein_distance,origin
levenshtein_distance_origin_experiment,7,6796.273,6.971,2932.006,162.685,levenshtein_distance,origin
levenshtein_distance_origin_experiment,8,6872.347,6.969,2925.784,161.172,levenshtein_distance,origin
levenshtein_distance_origin_experiment,9,6842.099,7.025,2923.727,161.686,levenshtein_distance,origin
levenshtein_distance_origin_experiment,10,6868.093,7.223,2929.891,161.645,levenshtein_distance,origin
fibonacci_code_experiment,1,41796.646,6.954,4658.236,463.856,fibonacci,code
fibonacci_code_experiment,2,41832.49,7.162,4631.422,469.404,fibonacci,code
fibonacci_code_experiment,3,41955.979,7.12,4620.687,467.933,fibonacci,code
fibonacci_code_experiment,4,41757.022,7.092,4624.767,471.754,fibonacci,code
fibonacci_code_experiment,5,41829.675,7.026,4624.213,469.465,fibonacci,code
fibonacci_code_experiment,6,41843.762,7.112,4622.49,469.779,fibonacci,code
fibonacci_code_experiment,7,41618.599,6.985,4634.484,469.572,fibonacci,code
fibonacci_code_experiment,8,41884.618,7.112,4627.323,468.175,fibonacci,code
fibonacci_code_experiment,9,41742.541,7.038,4620.341,465.869,fibonacci,code
fibonacci_code_experiment,10,41865.213,7.084,4642.898,468.157,fibonacci,code
knapsack_code_functiontion_experiment,1,0.015,7.518,2935.958,9.087,knapsack,"code,function"
knapsack_code_functiontion_experiment,2,0.014,6.518,2938.12,8.589,knapsack,"code,function"
knapsack_code_functiontion_experiment,3,0.022,5.451,2909.353,8.313,knapsack,"code,function"
knapsack_code_functiontion_experiment,4,0.014,6.866,2918.727,8.251,knapsack,"code,function"
knapsack_code_functiontion_experiment,5,0.016,7.132,2913.33,8.184,knapsack,"code,function"
knapsack_code_functiontion_experiment,6,0.014,6.399,2922.799,8.167,knapsack,"code,function"
knapsack_code_functiontion_experiment,7,0.016,5.273,2919.059,8.409,knapsack,"code,function"
knapsack_code_functiontion_experiment,8,0.014,6.393,2915.344,8.03,knapsack,"code,function"
knapsack_code_functiontion_experiment,9,0.014,6.729,2926.473,8.239,knapsack,"code,function"
knapsack_code_functiontion_experiment,10,0.015,6.236,2909.409,8.282,knapsack,"code,function"
matrix_chain_order_origin_experiment,1,2953.552,7.637,2932.428,34.736,matrix_chain_order,origin
matrix_chain_order_origin_experiment,2,2966.954,7.162,2922.62,33.109,matrix_chain_order,origin
matrix_chain_order_origin_experiment,3,2948.267,6.553,2893.055,31.689,matrix_chain_order,origin
matrix_chain_order_origin_experiment,4,2974.904,6.795,2887.832,35.085,matrix_chain_order,origin
matrix_chain_order_origin_experiment,5,2936.587,6.48,2880.918,33.61,matrix_chain_order,origin
matrix_chain_order_origin_experiment,6,2964.394,7.994,2874.942,34.771,matrix_chain_order,origin
matrix_chain_order_origin_experiment,7,2970.129,6.622,2877.501,34.096,matrix_chain_order,origin
matrix_chain_order_origin_experiment,8,2989.521,6.568,2873.967,35.026,matrix_chain_order,origin
matrix_chain_order_origin_experiment,9,2973.498,6.828,2875.362,34.195,matrix_chain_order,origin
matrix_chain_order_origin_experiment,10,2942.671,6.075,2879.229,31.752,matrix_chain_order,origin
fibonacci_code_function_experiment,1,0.019,6.812,2933.004,1.699,fibonacci,"code,function"
fibonacci_code_function_experiment,2,0.018,6.149,2947.508,1.277,fibonacci,"code,function"
